epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,600.267,0.94374,0.55307,0.97745,0.97939,0.98273,0.9879,0.77076,0.86377,0.42159,0.90578,0.000349331,0.000349331,0.000349331
43,607.595,0.93557,0.55321,0.981,0.98538,0.99121,0.98718,0.7611,0.87658,0.40154,0.9078,0.00034351,0.00034351,0.00034351
44,614.585,0.94445,0.5489,0.97132,0.98387,0.9928,0.98848,0.78894,0.8034,0.39253,0.89692,0.000337688,0.000337688,0.000337688
45,621.565,0.94341,0.55143,0.96879,0.98675,0.99102,0.98482,0.75735,0.89088,0.40873,0.91432,0.000331867,0.000331867,0.000331867
46,628.598,0.9252,0.53662,0.96328,0.98442,0.99301,0.98598,0.78779,0.81944,0.39535,0.90506,0.000326046,0.000326046,0.000326046
47,636.083,0.92487,0.53253,0.96806,0.98399,0.98986,0.98665,0.75751,0.9129,0.40424,0.91428,0.000320225,0.000320225,0.000320225
48,643.328,0.92326,0.52898,0.96394,0.98194,0.99074,0.98851,0.7695,0.89626,0.42309,0.91326,0.000314404,0.000314404,0.000314404
49,650.625,0.91676,0.52925,0.96488,0.98409,0.99301,0.98877,0.77122,0.84927,0.3986,0.90728,0.000308582,0.000308582,0.000308582
50,657.698,0.91428,0.52784,0.9691,0.97845,0.99301,0.98793,0.77293,0.83563,0.3959,0.90469,0.000302761,0.000302761,0.000302761
51,665.077,0.8985,0.52253,0.96093,0.98346,0.99208,0.98695,0.78637,0.80364,0.38867,0.89795,0.00029694,0.00029694,0.00029694
52,672.211,0.92523,0.52735,0.97864,0.98425,0.99208,0.98815,0.78098,0.82194,0.39099,0.90692,0.000291119,0.000291119,0.000291119
53,679.415,0.90687,0.52244,0.9658,0.98604,0.98783,0.98945,0.74884,0.95207,0.42175,0.94277,0.000285298,0.000285298,0.000285298
54,686.559,0.89918,0.50478,0.96284,0.98565,0.98523,0.98691,0.75449,0.90184,0.40187,0.91977,0.000279476,0.000279476,0.000279476
